instances\test_1.txt,41,0.14356374740600586
instances\test_10.txt,19,0.027963638305664062
instances\test_11.txt,35,0.033980607986450195
instances\test_12.txt,36,0.10771465301513672
instances\test_13.txt,36,0.12965011596679688
instances\test_14.txt,24,0.02193307876586914
instances\test_15.txt,50,0.11375856399536133
instances\test_16.txt,51,0.21348786354064941
instances\test_17.txt,39,0.0180051326751709
instances\test_18.txt,32,0.0379490852355957
instances\test_19.txt,47,0.04781961441040039
instances\test_2.txt,18,0.01499795913696289
instances\test_20.txt,28,0.02494502067565918
instances\test_21.txt,46,0.04591226577758789
instances\test_22.txt,51,0.10072565078735352
instances\test_23.txt,32,0.0358736515045166
instances\test_24.txt,47,0.14760398864746094
instances\test_25.txt,40,0.11274194717407227
instances\test_26.txt,42,0.05189180374145508
instances\test_27.txt,40,0.05688333511352539
instances\test_28.txt,41,0.09279036521911621
instances\test_29.txt,48,0.11973071098327637
instances\test_3.txt,28,0.015002965927124023
instances\test_30.txt,43,2.097041606903076
instances\test_31.txt,39,0.06982231140136719
instances\test_32.txt,30,0.06179976463317871
instances\test_33.txt,28,0.10272455215454102
instances\test_34.txt,33,0.02592921257019043
instances\test_35.txt,30,0.023934364318847656
instances\test_36.txt,23,0.015957355499267578
instances\test_37.txt,38,0.3112208843231201
instances\test_38.txt,28,0.013962507247924805
instances\test_39.txt,35,0.02399444580078125
instances\test_4.txt,32,0.04391741752624512
instances\test_40.txt,24,0.02293992042541504
instances\test_41.txt,45,6.150247812271118
instances\test_42.txt,57,2.2352850437164307
instances\test_43.txt,43,0.18779706954956055
instances\test_44.txt,33,0.07782721519470215
instances\test_45.txt,24,0.02197718620300293
instances\test_46.txt,57,0.1176903247833252
