File name,Merge Bound,Merge Increment,% A5 Solved,% A10 Solved,% A15 Solved,% A20 Solved,% O00 Solved,% O05 Solved,% O10 Solved,% O15 Solved,% S10 Solved,% S12 Solved,% S14 Solved,% S16 Solved,% S18 Solved,% S20 Solved,Avg Time A5 Solved,Avg Time A10 Solved,Avg Time A15 Solved,Avg Time A20 Solved,Avg Time O00 Solved,Avg Time O05 Solved,Avg Time O10 Solved,Avg Time O15 Solved,Avg Time S10 Solved,Avg Time S12 Solved,Avg Time S14 Solved,Avg Time S16 Solved,Avg Time S18 Solved,Avg Time S20 Solved
MA_CBS_results_MB1000000_incrType1.csv,1000000,1,0.9916666666666667,0.9375,0.6666666666666666,0.3229166666666667,0.8104166666666667,0.7958333333333333,0.7041666666666667,0.6083333333333333,0.621875,0.68125,0.715625,0.759375,0.796875,0.803125,0.11848429492537171,0.6161164671182606,1.5373368630702406,1.4429748142758996,0.00010605156421661376,0.9240964383028308,0.932934723784043,0.8302887568871172,0.5273122931520142,0.6008172661066049,0.63311717064603,0.6484647691145666,0.6953004052241614,0.6099005351463948
MA_CBS_results_MB100_incrType1.csv,100,1,0.9916666666666667,0.9375,0.6625,0.3125,0.8041666666666667,0.7916666666666666,0.7020833333333333,0.60625,0.615625,0.68125,0.709375,0.75625,0.79375,0.8,0.14855674918158843,0.7473538999756145,1.6547470519940033,1.6285472879807144,0.00023894409338633208,1.0636280682110764,1.1051271453641243,0.9607809742291741,0.52362348139286,0.684938277304171,0.6477101748329791,0.7815886929631226,0.8107880653365449,0.7305562973022425
MA_CBS_results_MB10_incrType1.csv,10,1,0.9916666666666667,0.9354166666666667,0.6604166666666667,0.3145833333333333,0.8041666666666667,0.7916666666666666,0.7041666666666667,0.6020833333333333,0.61875,0.678125,0.709375,0.75625,0.790625,0.8,0.11755667775869365,0.8094328482945745,1.596753699580806,1.6758073240518525,0.00011629313230514521,1.0495200728376568,1.154352175692716,0.8903952355186034,0.577354219555844,0.6755885173877074,0.6661261901259297,0.7964105422298097,0.7547316441933293,0.7293394361933062
MA_CBS_results_MB10_incrType2.csv,10,2,0.9895833333333334,0.9375,0.65625,0.29791666666666666,0.7979166666666667,0.7875,0.6979166666666666,0.5979166666666667,0.6125,0.678125,0.70625,0.75,0.784375,0.790625,0.1568567360440874,0.6935274059573794,1.7180457880099582,1.9330942779779408,0.00020777583122253334,1.2424653589725483,1.1652245114246975,0.922113097210723,0.5097621142864223,0.7494905273119591,0.6857447907328581,0.8232486804326352,0.8608827084302884,0.872395386795202
MA_CBS_results_MB10_incrType3.csv,10,3,0.9895833333333334,0.9333333333333333,0.6458333333333334,0.29791666666666666,0.7916666666666666,0.7833333333333333,0.69375,0.5979166666666667,0.603125,0.671875,0.703125,0.75,0.784375,0.7875,0.17563182813771444,0.9860850706696492,1.755128263433773,1.7393125668168037,0.00021816790103912294,1.2034099330787646,1.298635326822597,1.0039212192098288,0.514784986291565,0.7580397342783598,0.7709411819775892,0.909108173847198,0.8932235449552532,0.8100601077079753
MA_CBS_results_MB1_incrType1.csv,1,1,0.98125,0.8791666666666667,0.6104166666666667,0.2875,0.7541666666666667,0.7541666666666667,0.6770833333333334,0.5729166666666666,0.525,0.621875,0.68125,0.734375,0.771875,0.803125,0.09161261419455088,0.7292614802718145,1.3897978330651908,1.3245913838345742,0.00011640141407648707,0.9345731258392321,0.9137116755047372,0.8293172811468434,0.27790016730626393,0.47947386006514187,0.5257087469100948,0.8418541828791295,0.5629506414135275,0.8473757127919724
MA_CBS_results_MB1_incrType2.csv,1,2,0.9875,0.9104166666666667,0.66875,0.3416666666666667,0.7875,0.8145833333333333,0.6916666666666667,0.6145833333333334,0.571875,0.6625,0.70625,0.778125,0.8125,0.83125,0.07061803638935062,0.5515603750944127,1.6398505310217508,1.6344566548864015,9.791105985641458e-05,1.1766409019629152,0.9153115640083903,0.8806158219774555,0.36390071511268546,0.5511983096599555,0.5410866205890965,0.903966059784094,0.6861134325464556,0.8502204596996283
MA_CBS_results_MB1_incrType3.csv,1,3,0.9895833333333334,0.9270833333333334,0.6875,0.3645833333333333,0.8041666666666667,0.8229166666666666,0.7104166666666667,0.63125,0.60625,0.66875,0.725,0.790625,0.821875,0.840625,0.12105618432812221,0.7300848811108689,2.0297784149646745,1.6917235866188938,0.00014993200699488313,1.2844640463590489,1.1034822483997884,1.1580163813057427,0.518087577323107,0.5950619613271282,0.7323840160409568,0.9880345051487274,0.8330179166221509,0.906057090560488
MA_CBS_results_MB20_incrType1.csv,20,1,0.9895833333333334,0.9354166666666667,0.6354166666666666,0.2916666666666667,0.7875,0.7833333333333333,0.6895833333333333,0.5916666666666667,0.603125,0.66875,0.7,0.740625,0.771875,0.79375,0.1254802236954359,0.8987645020087535,1.7195712243517207,1.7482801611224736,0.00013920664787292293,1.2489143759012173,1.1128582333525006,1.0170367161432878,0.505289594332375,0.7649856234590202,0.7051383987069121,0.827187506357827,0.7884390066067332,0.9010559817155157
MA_CBS_results_MB20_incrType2.csv,20,2,0.9895833333333334,0.9354166666666667,0.6458333333333334,0.30833333333333335,0.7895833333333333,0.7916666666666666,0.6979166666666666,0.6,0.603125,0.671875,0.703125,0.753125,0.7875,0.8,0.11895913034677467,0.9035531808932615,1.72958998481422,1.8811605557799316,0.00014566878477732334,1.3087028086185444,1.1959311246871926,1.0774577498434919,0.4764013926188146,0.7675777728358892,0.7256717150410005,0.8843489790955129,0.8703775982062016,0.908885394036768
